review_id,review,rating,date,bank,sentiment_label,sentiment_score,identified_theme,is_high_risk,review_word_count,is_short_review,detected_language,translated_review
0,Good to use,5,2026-05-12,Commercial Bank of Ethiopia,POSITIVE,0.9998455047607422,Feature Request / General,0,3,True,en,Good to use
1,cbe,1,2026-05-12,Commercial Bank of Ethiopia,POSITIVE,0.9966009855270386,Feature Request / General,0,1,True,en,cbe
2,https..//digital,1,2026-05-11,Commercial Bank of Ethiopia,POSITIVE,0.6109107732772827,Feature Request / General,0,1,True,en,https..//digital
3,Cbe,4,2026-05-11,Commercial Bank of Ethiopia,POSITIVE,0.9966009855270386,Feature Request / General,0,1,True,en,Cbe
4,best and secured,5,2026-05-11,Commercial Bank of Ethiopia,POSITIVE,0.9998188614845276,Feature Request / General,0,3,True,en,best and secured
5,best,5,2026-05-11,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
6,ok,5,2026-05-11,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
7,good,5,2026-05-10,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
8,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10,Commercial Bank of Ethiopia,NEGATIVE,0.0011453628540039,Transaction Performance,0,32,False,en,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.
9,Gal✅😶‍🌫️,1,2026-05-10,Commercial Bank of Ethiopia,NEGATIVE,0.3029435276985168,Feature Request / General,0,1,True,en,Gal✅😶‍🌫️
10,posetive,5,2026-05-10,Commercial Bank of Ethiopia,POSITIVE,0.9818595051765442,Feature Request / General,0,1,True,en,posetive
11,እ. በ. ጥ. ነው,5,2026-05-10,Commercial Bank of Ethiopia,NEUTRAL,0.0,Feature Request / General,0,4,False,am,E. as if. Q. is it
12,good,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
13,It is usefull app,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.9959065914154052,Feature Request / General,0,4,False,en,It is usefull app
14,this app is so functional for airtime for wallet and,5,2026-05-09,Commercial Bank of Ethiopia,NEGATIVE,0.0845732688903808,Feature Request / General,0,10,False,en,this app is so functional for airtime for wallet and
15,very amazing app,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.9998725652694702,Feature Request / General,0,3,True,en,very amazing app
16,excellent service,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.9998576641082764,Customer Support,0,2,True,en,excellent service
17,There is a a problem when updating the app,3,2026-05-09,Commercial Bank of Ethiopia,NEGATIVE,0.0010183453559875,Feature Request / General,0,9,False,en,There is a a problem when updating the app
18,good,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
19,good,5,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
20,Cbe,3,2026-05-09,Commercial Bank of Ethiopia,POSITIVE,0.9966009855270386,Feature Request / General,0,1,True,en,Cbe
21,smart app,4,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.999789297580719,Feature Request / General,0,2,True,en,smart app
22,best,5,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
23,"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08,Commercial Bank of Ethiopia,NEGATIVE,0.0112664699554443,Feature Request / General,0,52,False,en,"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus."
24,CBE it's my excellent choice,5,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.9997592568397522,Feature Request / General,0,5,False,en,CBE it's my excellent choice
25,Good,5,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,Good
26,fast and time saving...,5,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.9994866847991944,Feature Request / General,0,4,False,en,fast and time saving...
27,ok,5,2026-05-08,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
28,ok,5,2026-05-07,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
29,yesisgood,5,2026-05-07,Commercial Bank of Ethiopia,POSITIVE,0.9984375834465028,Feature Request / General,0,1,True,en,yesisgood
30,so good,5,2026-05-07,Commercial Bank of Ethiopia,POSITIVE,0.999841570854187,Feature Request / General,0,2,True,en,so good
31,"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07,Commercial Bank of Ethiopia,NEGATIVE,0.0003870129585266,Transaction Performance,0,52,False,en,"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release."
32,iam happy excellent app,5,2026-05-07,Commercial Bank of Ethiopia,POSITIVE,0.9998611211776732,Feature Request / General,0,4,False,en,iam happy excellent app
33,is not work properly !!,3,2026-05-06,Commercial Bank of Ethiopia,NEGATIVE,0.0002209544181823,Feature Request / General,0,5,False,en,is not work properly !!
34,this apps make my life easy,5,2026-05-06,Commercial Bank of Ethiopia,POSITIVE,0.998026430606842,UI & Design,0,6,False,en,this apps make my life easy
35,አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06,Commercial Bank of Ethiopia,POSITIVE,0.836,Feature Request / General,0,6,False,am,"It's a great app, I found it amazing"
36,When I update this app there isn't working,1,2026-05-06,Commercial Bank of Ethiopia,NEGATIVE,0.0004245638847351,Feature Request / General,0,8,False,en,When I update this app there isn't working
37,thanks you so much 👍 okay I am going to be like in,5,2026-05-05,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,13,False,en,thanks you so much 👍 okay I am going to be like in
38,Best ever,1,2026-05-05,Commercial Bank of Ethiopia,POSITIVE,0.999841570854187,Feature Request / General,0,2,True,en,Best ever
39,features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05,Commercial Bank of Ethiopia,NEGATIVE,-0.7227,Feature Request / General,0,29,False,am,"I like its features very much, but I see one problem. When APPU DELETE, moving the branch and signing the MB APPLICATION FORMAT regularly, one is an expense for the bank and two is an inconvenience to the customers. Fix it."
40,best,5,2026-05-05,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
41,goood g,5,2026-05-05,Commercial Bank of Ethiopia,POSITIVE,0.4404,Feature Request / General,0,2,True,om,good Mr
42,I like so much,5,2026-05-05,Commercial Bank of Ethiopia,POSITIVE,0.9998633861541748,Feature Request / General,0,4,False,en,I like so much
43,This app has never been efficient at all,1,2026-05-04,Commercial Bank of Ethiopia,NEGATIVE,0.0002203583717346,Feature Request / General,0,8,False,en,This app has never been efficient at all
44,nice app.,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.9998321533203124,Feature Request / General,0,2,True,en,nice app.
45,"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,Commercial Bank of Ethiopia,NEGATIVE,0.0001984238624572,Feature Request / General,0,27,False,en,"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix."
46,Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.9998841285705566,Feature Request / General,0,6,False,en,Wonderful App ❤️❤️❤️ I love it
47,i like it,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.99985933303833,Feature Request / General,0,3,True,en,i like it
48,best,4,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
49,vary good app,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.9998146891593932,Feature Request / General,0,3,True,en,vary good app
50,good,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
